r	Covariate	Int_Bias	Int_SE	Int_SEE	Int_CP		Slo_Bias	Slo_SE	Slo_SEE	Slo_CP
0	X	0.00195387184639356	0.130283211120422	0.13048752531139	0.953		0.0017173975253677	0.191119315155178	0.188892751719237	0.9487
	Z	0.00101629231768663	0.119556485638034	0.120731068039425	0.9535		0.00016129216400107	0.119359646012503	0.120955299592485	0.9554
	T	-0.00010177558551494	0.129835889298903	0.126839746816894	0.9454		-0.000137167755120737	0.104051883857572	0.103385635865883	0.9484
	XT	0.000967518165700287	0.211023366646014	0.204262444381218	0.9425		0.000443140216788485	0.142587133619787	0.140652061298193	0.9453
	ZT	-0.00115024448436607	0.129230820579191	0.130566038240374	0.953		-0.000544685130187794	0.12886492747992	0.130318449916697	0.9524
0.1	X	0.00382154813236796	0.130638346360909	0.13097494357626	0.9512		0.00107374579318986	0.191525856379655	0.188830820546843	0.9472
	Z	0.00218168165292343	0.119202133327964	0.120576464691014	0.9554		0.00157020247700257	0.120229598577619	0.12162675327401	0.9552
	T	-0.00100440080650388	0.124983187913291	0.121959137559746	0.9462		-0.0018210691340213	0.103642535255347	0.102864041184194	0.9481
	XT	0.0013410793398721	0.210862033288462	0.204158116545659	0.9436		0.00253964312574412	0.142996062162004	0.141186624584893	0.9459
	ZT	0.000255802232562607	0.129740245346232	0.131280378596196	0.9521		0.000651196139750954	0.128691076409848	0.130186990945252	0.9521
0.2	X	0.00455672343789087	0.132036745188419	0.132465530035918	0.9504		0.000765342089305232	0.189840460885829	0.18825807470607	0.9524
	Z	0.00219841997699477	0.119020149503882	0.120517364709885	0.955		0.00214689250826183	0.122213560423774	0.123494680905535	0.9537
	T	-0.000855268519663221	0.119217169464982	0.116356021187425	0.9419		-0.00227624553887451	0.102792446426342	0.10211710338888	0.949
	XT	0.000292180505728434	0.210500195122916	0.203584822428862	0.9434		0.00314388848048014	0.143942464344642	0.14279697537744	0.9471
	ZT	0.000843745130040152	0.131638033659681	0.133327991528979	0.9544		0.000847043039967632	0.128541390174495	0.13014351620552	0.9523
0.3	X	0.00462852421790227	0.134637356428443	0.135202032242725	0.9506		8.26980197665694e-06	0.191426785888297	0.190074822204745	0.9478
	Z	0.00193490061741841	0.119063690353252	0.120622346707103	0.9542		0.00249486398314269	0.125305215324424	0.126329701797311	0.9527
	T	-0.00114443227371319	0.113755527888906	0.111579595362724	0.9452		-0.00245125704785126	0.102085862792938	0.101391582575329	0.9495
	XT	0.00066099121441654	0.2118892417283	0.205499899991482	0.9424		0.00381276696810567	0.146899632365059	0.145763283117282	0.9482
	ZT	0.000916019302063531	0.13481568678782	0.136403128339915	0.9531		0.000535316062510449	0.128664558484394	0.130275352415992	0.9514
