r	Covariate	Bias	SE	SEE	CP	RE
0	$X$	0.00294967996322826	0.141469537640965	0.140430977008234	0.9482	1.01002658620233
	$Z$	0.000117024407754851	0.119276844808943	0.120766712307803	0.954	1.00384913318886
	$\bT$	-0.000712729777309518	0.106349927546191	0.105282390572819	0.9501	1.02527431735605
	$X\bT$	0.00246276344621393	0.150450019711892	0.147597430318044	0.9478	1.01395352215348
	$Z\bT$	-0.00138512934405388	0.129019328997102	0.130345459400195	0.9507	1.00274687946509
1	$X$	0.000325567052530118	0.1966065858901	0.197343483951263	0.9521	1.0407933778499
	$Z$	0.00116165984932404	0.12842501179178	0.129711700491785	0.9533	1.01374425407504
	$\bT$	-0.000396038486287331	0.0994223966923807	0.0991537879863429	0.9509	0.99993100084356
	$X\bT$	0.000460500733444502	0.206991686066044	0.207377858266479	0.9505	1.04142671415379
	$Z\bT$	-2.66562585096164e-05	0.13624074078816	0.137933695619012	0.95	1.01917550403412
2	$X$	-0.0046497582938631	0.302135636274345	0.306383154914975	0.952	1.09464207176439
	$Z$	0.00261944116319224	0.131402746141491	0.133407917847563	0.9537	1.06915745647373
	$\bT$	-0.000791243545298803	0.0997681239206574	0.0998624831290299	0.9503	1.00813104604635
	$X\bT$	-0.00323224016499774	0.315587380130251	0.322387174487899	0.9512	1.09628449408525
	$Z\bT$	0.00146260850919666	0.137659577880318	0.140960741943011	0.9536	1.07691157195237
3	$X$	-0.0117868437202804	0.416459135590523	0.43307967102904	0.9573	1.18326598880051
	$Z$	0.00402633122089235	0.129984218449468	0.135305828258809	0.9586	1.1604427477245
	$\bT$	-0.00150324438768418	0.0998350466752809	0.100824038089329	0.9528	1.03810084833158
	$X\bT$	-0.0101942994070576	0.433841327566027	0.454314101808263	0.9593	1.19679560152128
	$Z\bT$	0.00319026137829492	0.135566119938868	0.142205743921309	0.9585	1.17848009981278
