r	Covariate	Bias	SE	SEE	CP	RE
0	$X$	0.00161774607586185	0.12902165723838	0.129208091527128	0.9516	1.02343260553379
	$Z$	0.000301947680107162	0.119261128227113	0.120727910283654	0.9534	1.00481258747824
	$\bT$	-0.00192061893163004	0.130685730018418	0.127259341783608	0.9443	1.00241645136556
	$X\bT$	0.00473834119823852	0.212328057262982	0.20534114261364	0.9437	1.00801237554834
	$Z\bT$	-0.00121472596871369	0.129225954080825	0.130584520960785	0.9526	1.00098706755569
1	$X$	-0.00168085267474732	0.179768091391147	0.181408279973206	0.9515	1.0398575239661
	$Z$	0.00212094633094018	0.122403897817993	0.123849430427979	0.9514	1.00846409919014
	$\bT$	-0.000319406532799493	0.0995618210001864	0.0992119418574124	0.9499	0.998736655695435
	$X\bT$	0.00376058231443605	0.297501416306158	0.289587762046409	0.9383	1.02319724476299
	$Z\bT$	-0.00175973314711797	0.172150858842462	0.170639965795693	0.9457	1.01857282500972
2	$X$	-0.00716139791990089	0.27647249120913	0.282896488264975	0.9536	1.12837660457098
	$Z$	0.00359917759412398	0.122018451586915	0.124916426339847	0.9548	1.0964200910426
	$\bT$	3.60336665644057e-05	0.103918120411617	0.104064254576309	0.9508	1.00817628131757
	$X\bT$	0.00492352300492316	0.443202531481722	0.439075071423533	0.9448	1.03739921331947
	$Z\bT$	-0.00178510127560016	0.184324520432184	0.184376557806523	0.9453	1.03782088684171
3	$X$	-0.0150150429797787	0.379938210853304	0.398683242250744	0.961	1.25189800140158
	$Z$	0.00498733285526276	0.119484418806317	0.125463774118218	0.9624	1.22340542492705
	$\bT$	-0.000114234582798078	0.108232762974242	0.109652247775287	0.9544	1.02316459304301
	$X\bT$	0.00352598862757753	0.618083639560467	0.62845275125043	0.9509	1.05944637655116
	$Z\bT$	-0.000918389431592448	0.188222988895512	0.192797320927419	0.9535	1.0607946401483
