r	Covariate	Bias	SE	SEE	CP	RE
0	$X$	0.00510660929858664	0.194506344117697	0.189854218434869	0.9433	0.987261550654988
	$Z$	0.000219656236325028	0.119558679481429	0.120963979877274	0.954	0.997517252120167
	$\bT$	9.50456002202782e-05	0.103388665550327	0.102483254382418	0.9479	1.01434738114586
	$X\bT$	0.000631770637790907	0.1414439730241	0.139481366840994	0.9476	1.01938465862076
	$Z\bT$	-0.00123948450067007	0.128741985924301	0.130311474204203	0.9523	1.00214960704871
1	$X$	0.00157735185104574	0.273566337110624	0.268133286083312	0.9419	1.01042472143678
	$Z$	0.000493089216372367	0.159475418028089	0.158037939020003	0.9455	1.0073495114123
	$\bT$	-0.000342959144502664	0.0993846938254372	0.0991467969967557	0.9499	1.00103910722986
	$X\bT$	-0.00138156348040991	0.194618879545039	0.195896747823596	0.9492	1.03562719031056
	$Z\bT$	0.00084866835047348	0.131868594090741	0.133761741544916	0.9523	1.00699022013651
2	$X$	-0.00162383894722551	0.412864354043568	0.406800604309319	0.9438	1.03105548809553
	$Z$	0.0013500479460139	0.172702013329502	0.170867390686947	0.947	1.03062753893167
	$\bT$	-0.000967665809984308	0.0993249176339768	0.099368839966843	0.9511	1.00338146576227
	$X\bT$	-0.00623592032093162	0.298331114243955	0.305488985410741	0.9542	1.09676088199305
	$Z\bT$	0.00260130816890236	0.1316182548023	0.134891492447182	0.9551	1.06895384090523
3	$X$	-0.00346614255277289	0.577314512225926	0.584603279027786	0.9504	1.04827966342017
	$Z$	0.00151280046334235	0.176525535360636	0.179416180268845	0.9516	1.04826692167947
	$\bT$	-0.00170568932624954	0.0989670633721861	0.0997930850820921	0.9521	1.02752568676129
	$X\bT$	-0.013482050821372	0.408694537287709	0.429767613463344	0.9599	1.20860078319869
	$Z\bT$	0.00412809235401512	0.128574140512041	0.135215419902478	0.9597	1.18126219213168
