		SMLE					ACML		
r	Covariate	Bias	SE	SEE	CP		Bias	SE	RE
0	$X$	0.00310080549808334	0.142176996970574	0.141460227601561	0.9485		0.00049117063712395	0.140329131529885	1.02650956136865
	$Z$	0.000940811388836171	0.119506180565938	0.120774081688881	0.9541		-0.000798694023095126	0.140757748566959	0.720835405275543
	$\bT$	-0.000898219127865252	0.107685502180396	0.106130666588495	0.9487		0.000795583555580903	0.11561670435002	0.867507631586599
	$X\bT$	0.00201250120183705	0.151496037286801	0.148673417746793	0.9474		-0.00043029800849137	0.150404072713984	1.01457312288148
	$Z\bT$	-0.000537203572567813	0.129196407749709	0.130352896960544	0.952		-0.00121346761792535	0.14776430337813	0.764472408774321
1	$X$	0.00565801841290348	0.20057662612101	0.201201726595053	0.9505		0.000949179053404636	0.199891178374592	1.00686996782939
	$Z$	-0.00137338280965521	0.129304552941925	0.130883543420506	0.9544		-0.000479295470278196	0.142890165271116	0.818885077539754
	$\bT$	-0.000548470106706167	0.0994189666024599	0.0991598338956542	0.9503		0.000946469775625902	0.118120277444522	0.708417975421896
	$X\bT$	0.00579799875446751	0.211235671203163	0.210948437490359	0.9506		0.00138566408570906	0.211498126022561	0.997519675658397
	$Z\bT$	-0.00253870688179986	0.137540780589319	0.138983227804597	0.9483		-0.00156970121526057	0.149904596523061	0.841846808735971
2	$X$	0.0116808852173779	0.316109843958789	0.320849750060545	0.9547		0.00389621396177064	0.324395564357624	0.949568340330217
	$Z$	-0.00365207263887091	0.135870532056037	0.138498092238338	0.9542		-0.00128727531634193	0.146226595268508	0.863371713969277
	$\bT$	0.000511586345278703	0.100172912352958	0.100206777219383	0.9499		0.000857138513898015	0.122856516388422	0.664820200932817
	$X\bT$	0.0136995976579115	0.330431364537154	0.336387833971874	0.9522		0.00573619047015161	0.33937445344177	0.947991040094673
	$Z\bT$	-0.0050298444450555	0.142855332168664	0.145851941944115	0.9541		-0.00242808056169058	0.153239249282428	0.869066239496676
3	$X$	0.019707147553349	0.453016044930588	0.471590373149263	0.9592		0.00826381059348952	0.474591939887142	0.911142808788449
	$Z$	-0.0050644588406909	0.140024002204038	0.146335639820109	0.9601		-0.00223797750250176	0.150837244682907	0.861762897540806
	$\bT$	0.00118877199116935	0.101719167772642	0.102499872902747	0.9505		0.000343622786138587	0.128804296015441	0.623655705679692
	$X\bT$	0.0240857407641523	0.474614401992726	0.492444913921654	0.9574		0.0113277254685021	0.499896456528419	0.901408623571532
	$Z\bT$	-0.00671213641355312	0.147167628928497	0.153087736355939	0.9578		-0.00293002719804941	0.15909943110463	0.85563261814553
