		SMLE					ACML		
r	Covariate	Bias	SE	SEE	CP		Bias	SE	RE
0	$X$	0.00241313955592898	0.130636526938892	0.130579235340383	0.9527		0.000590305615735864	0.130195526845841	1.00678590093787
	$Z$	0.00105367489166641	0.119560223126507	0.120739065750601	0.9533		0.000147570750552384	0.131162953271537	0.830904402985081
	$\bT$	-0.00214196529315741	0.131298486205839	0.127380327525737	0.9441		-0.000760322470870989	0.156764805079792	0.70149132440913
	$X\bT$	0.00504654762070395	0.214377026236476	0.205572292554493	0.9422		0.000407213128141515	0.207373001757226	1.06869076403392
	$Z\bT$	-0.00113975543374067	0.129313849875957	0.130588926256604	0.9526		8.08459780328175e-05	0.205434800088559	0.396225165514312
1	$X$	0.00441648946615686	0.184084551242678	0.185205458282823	0.9503		0.000668799512330676	0.184550717384509	0.99495447764255
	$Z$	-0.000969644966748229	0.123421079474577	0.124948008408402	0.9549		-3.87318542761084e-05	0.133452125357364	0.855318157244183
	$\bT$	0.000114523676313205	0.0994905257397675	0.0992132821584163	0.9504		0.000210051398659539	0.156859535893227	0.402292188939104
	$X\bT$	0.00401497874037371	0.302798158424079	0.293123571015767	0.9382		0.000814411989190855	0.293642920979455	1.06332833776208
	$Z\bT$	-0.00231539149729604	0.174849200920386	0.172492655546713	0.9455		-0.00105271832568504	0.205956976028903	0.720732805843815
2	$X$	0.00941495573464113	0.296553170518847	0.29973684213549	0.9537		0.000657547688965254	0.303027242627978	0.957727140971407
	$Z$	-0.00277703644253863	0.128976406046798	0.130769290321146	0.9545		0.000472287227519241	0.138660385070582	0.865198461031894
	$\bT$	0.000426577128326611	0.104630847349221	0.104647523646171	0.9517		0.00057815928803423	0.157371495889797	0.442045871563265
	$X\bT$	0.00490166803039871	0.455305028488161	0.447612072048471	0.9427		0.0023139072172107	0.463229577758677	0.966078306206188
	$Z\bT$	-0.00203927006070903	0.18945184704982	0.187953649185843	0.9471		-0.00152309026731773	0.204936218747686	0.854594807760862
3	$X$	0.0181374175252244	0.432847890932122	0.447127016591606	0.9583		0.000866027085062948	0.451779800539952	0.917945702154532
	$Z$	-0.00455375851258161	0.134525616460987	0.13923172537355	0.9612		0.00064633845512585	0.145851546138275	0.850722476181196
	$\bT$	0.000116062032220476	0.110117461858721	0.111029915974399	0.9547		0.000268636767249475	0.15650946034654	0.495029633266222
	$X\bT$	0.00196349005527047	0.642202288770499	0.64470583185085	0.9498		0.00131697576713136	0.655979643174495	0.958435681313404
	$Z\bT$	-0.000651494055872559	0.195879251787617	0.197938670505505	0.9519		-0.000856269235954221	0.205106176610363	0.912051569204276
