		SMLE					ACML		
r	Covariate	Bias	SE	SEE	CP		Bias	SE	RE
0	$X$	0.00535759924736207	0.19326351890994	0.189895631262896	0.949		0.00112961431438674	0.187911994230455	1.05776882352081
	$Z$	0.000152095295986698	0.11941017021738	0.120971793694099	0.9551		0.0019602228341965	0.187236752680269	0.406724593788253
	$\bT$	-0.000261236648919916	0.104127702475071	0.10341754975106	0.949		0.00109524232612951	0.109173813369504	0.909694589347946
	$X\bT$	0.000684974050700171	0.14280831450131	0.140731492763524	0.9456		-0.000876476005676363	0.142284535230825	1.00737597154053
	$Z\bT$	-0.000525119151374931	0.128880283982782	0.130324423686485	0.9523		-0.0015770169460097	0.140013928467521	0.847286889841207
1	$X$	0.0025682421758329	0.274988566563594	0.270636611255191	0.9434		-0.000963640162409241	0.267403068045539	1.0575392688351
	$Z$	-0.000118942733243366	0.160060378404815	0.159174063729127	0.949		0.00220497082825299	0.187980706310092	0.725005204924157
	$\bT$	-0.00058859589998006	0.0994363160955961	0.0991534686048635	0.95		0.000597797968130753	0.113795091032825	0.763559697659032
	$X\bT$	0.00593391833000534	0.198055400946282	0.199130723277402	0.9483		0.00136710869499246	0.199429895513033	0.986263263356926
	$Z\bT$	-0.00255498189137493	0.13232868670468	0.134532228649939	0.9526		-0.00136549270612824	0.142485413846619	0.862516056241538
2	$X$	-0.000485763586758781	0.419226191205595	0.412483573938027	0.9451		-0.00178765709494189	0.426534249111948	0.966026403128594
	$Z$	0.00082556283099966	0.175326786137556	0.173130132778124	0.943		0.00182145457749661	0.188824590597309	0.862143266086128
	$\bT$	0.000482492253432609	0.0994927078136576	0.0996253208708813	0.9514		0.000212261368579547	0.120280924680336	0.684209319648821
	$X\bT$	0.0143080546255936	0.312431293066548	0.319613962859957	0.9526		0.00239679141063004	0.321893772451217	0.942071581763679
	$Z\bT$	-0.00521134135004586	0.136080408403134	0.139636038616888	0.9551		-0.00101580248272892	0.146861614818482	0.858567825912343
3	$X$	-0.0033216880334776	0.591086519749391	0.595728443308096	0.9502		-0.00170611430996392	0.607551695379538	0.94653272959596
	$Z$	0.00137307521163066	0.180735505515377	0.182827915562893	0.9515		0.0011438595880513	0.18995414244781	0.905293534000747
	$\bT$	0.00163762645678395	0.100319885420931	0.101329952749844	0.9512		-0.000939316651910549	0.128275095883577	0.611630816730964
	$X\bT$	0.0304916649660791	0.449303982980977	0.4701775876035	0.9565		0.00484726433420457	0.477378916560655	0.885837514000803
	$Z\bT$	-0.00854329150820266	0.139741944407676	0.14652369794817	0.9581		-0.00078728261621025	0.1541971941127	0.821297728393985
